yourlist:M201803228A530B6CA0138AFAA6D2B97CE8C2A924102F3CB	Entry	Entry name	Gene names	Organism
Q92503	Q92503	S14L1_HUMAN	SEC14L1 SEC14L	Homo sapiens (Human)
O43657	O43657	TSN6_HUMAN	TSPAN6 TM4SF6 UNQ767/PRO1560	Homo sapiens (Human)
Q13951	Q13951	PEBB_HUMAN	CBFB	Homo sapiens (Human)
Q99459	Q99459	CDC5L_HUMAN	CDC5L KIAA0432 PCDC5RP	Homo sapiens (Human)
O43660	O43660	PLRG1_HUMAN	PLRG1	Homo sapiens (Human)
Q8WYA6	Q8WYA6	CTBL1_HUMAN	CTNNBL1 C20orf33 PP8304	Homo sapiens (Human)
Q9UNY4	Q9UNY4	TTF2_HUMAN	TTF2	Homo sapiens (Human)
Q99732	Q99732	LITAF_HUMAN	LITAF PIG7 SIMPLE	Homo sapiens (Human)
Q460N5	Q460N5	PAR14_HUMAN	PARP14 BAL2 KIAA1268	Homo sapiens (Human)
Q13118	Q13118	KLF10_HUMAN	KLF10 TIEG TIEG1	Homo sapiens (Human)
Q92614	Q92614	MY18A_HUMAN	MYO18A CD245 KIAA0216 MYSPDZ	Homo sapiens (Human)
Q9NUP9	Q9NUP9	LIN7C_HUMAN	LIN7C MALS3 VELI3	Homo sapiens (Human)
Q16650	Q16650	TBR1_HUMAN	TBR1	Homo sapiens (Human)
Q9UGP8	Q9UGP8	SEC63_HUMAN	SEC63 SEC63L	Homo sapiens (Human)
Q9UBS4	Q9UBS4	DJB11_HUMAN	DNAJB11 EDJ ERJ3 HDJ9 PSEC0121 UNQ537/PRO1080	Homo sapiens (Human)
Q96KC8	Q96KC8	DNJC1_HUMAN	DNAJC1 HTJ1	Homo sapiens (Human)
P01266	P01266	THYG_HUMAN	TG	Homo sapiens (Human)
Q8IXB1	Q8IXB1	DJC10_HUMAN	DNAJC10 ERDJ5 UNQ495/PRO1012	Homo sapiens (Human)
O95049	O95049	ZO3_HUMAN	TJP3 ZO3	Homo sapiens (Human)
P09630	P09630	HXC6_HUMAN	HOXC6 HOX3C	Homo sapiens (Human)
P48382	P48382	RFX5_HUMAN	RFX5	Homo sapiens (Human)
Q86VP6	Q86VP6	CAND1_HUMAN	CAND1 KIAA0829 TIP120 TIP120A	Homo sapiens (Human)
P63220	P63220	RS21_HUMAN	RPS21	Homo sapiens (Human)
Q8IX07	Q8IX07	FOG1_HUMAN	ZFPM1 FOG1 ZFN89A	Homo sapiens (Human)
Q96K83	Q96K83	ZN521_HUMAN	ZNF521 EHZF LIP3	Homo sapiens (Human)
O14602	O14602	IF1AY_HUMAN	EIF1AY	Homo sapiens (Human)
Q9UHD9	Q9UHD9	UBQL2_HUMAN	UBQLN2 N4BP4 PLIC2 HRIHFB2157	Homo sapiens (Human)
P78371	P78371	TCPB_HUMAN	CCT2 99D8.1 CCTB	Homo sapiens (Human)
P49368	P49368	TCPG_HUMAN	CCT3 CCTG TRIC5	Homo sapiens (Human)
P17987	P17987	TCPA_HUMAN	TCP1 CCT1 CCTA	Homo sapiens (Human)
P50990	P50990	TCPQ_HUMAN	CCT8 C21orf112 CCTQ KIAA0002	Homo sapiens (Human)
P40227	P40227	TCPZ_HUMAN	CCT6A CCT6 CCTZ	Homo sapiens (Human)
Q99832	Q99832	TCPH_HUMAN	CCT7 CCTH NIP7-1	Homo sapiens (Human)
P50991	P50991	TCPD_HUMAN	CCT4 CCTD SRB	Homo sapiens (Human)
Q92526	Q92526	TCPW_HUMAN	CCT6B	Homo sapiens (Human)
P23946	P23946	CMA1_HUMAN	CMA1 CYH CYM	Homo sapiens (Human)
P35613	P35613	BASI_HUMAN	BSG UNQ6505/PRO21383	Homo sapiens (Human)
Q12805	Q12805	FBLN3_HUMAN	EFEMP1 FBLN3 FBNL	Homo sapiens (Human)
Q92583	Q92583	CCL17_HUMAN	CCL17 SCYA17 TARC	Homo sapiens (Human)
O00626	O00626	CCL22_HUMAN	CCL22 MDC SCYA22 A-152E5.1	Homo sapiens (Human)
P35225	P35225	IL13_HUMAN	IL13 NC30	Homo sapiens (Human)
Q15113	Q15113	PCOC1_HUMAN	PCOLCE PCPE1	Homo sapiens (Human)
P51512	P51512	MMP16_HUMAN	MMP16 C8orf57 MMPX2	Homo sapiens (Human)
Q76LX8	Q76LX8	ATS13_HUMAN	ADAMTS13 C9orf8 UNQ6102/PRO20085	Homo sapiens (Human)
P15502	P15502	ELN_HUMAN	ELN	Homo sapiens (Human)
O95967	O95967	FBLN4_HUMAN	EFEMP2 FBLN4 UNQ200/PRO226	Homo sapiens (Human)
Q9UBX5	Q9UBX5	FBLN5_HUMAN	FBLN5 DANCE UNQ184/PRO210	Homo sapiens (Human)
P98095	P98095	FBLN2_HUMAN	FBLN2	Homo sapiens (Human)
Q08397	Q08397	LOXL1_HUMAN	LOXL1 LOXL	Homo sapiens (Human)
P28300	P28300	LYOX_HUMAN	LOX	Homo sapiens (Human)
P61604	P61604	CH10_HUMAN	HSPE1	Homo sapiens (Human)
P07478	P07478	TRY2_HUMAN	PRSS2 TRY2 TRYP2	Homo sapiens (Human)
O95980	O95980	RECK_HUMAN	RECK ST15	Homo sapiens (Human)
Q13751	Q13751	LAMB3_HUMAN	LAMB3 LAMNB1	Homo sapiens (Human)
Q16787	Q16787	LAMA3_HUMAN	LAMA3 LAMNA	Homo sapiens (Human)
P13611	P13611	CSPG2_HUMAN	VCAN CSPG2	Homo sapiens (Human)
P08603	P08603	CFAH_HUMAN	CFH HF HF1 HF2	Homo sapiens (Human)
Q9NZ53	Q9NZ53	PDXL2_HUMAN	PODXL2 UNQ1861/PRO3742	Homo sapiens (Human)
P78556	P78556	CCL20_HUMAN	CCL20 LARC MIP3A SCYA20	Homo sapiens (Human)
P02778	P02778	CXL10_HUMAN	CXCL10 INP10 SCYB10	Homo sapiens (Human)
Q9UHI8	Q9UHI8	ATS1_HUMAN	ADAMTS1 KIAA1346 METH1	Homo sapiens (Human)
P16109	P16109	LYAM3_HUMAN	SELP GMRP GRMP	Homo sapiens (Human)
Q14242	Q14242	SELPL_HUMAN	SELPLG	Homo sapiens (Human)
P25063	P25063	CD24_HUMAN	CD24 CD24A	Homo sapiens (Human)
P43235	P43235	CATK_HUMAN	CTSK CTSO CTSO2	Homo sapiens (Human)
P02461	P02461	CO3A1_HUMAN	COL3A1	Homo sapiens (Human)
Q13753	Q13753	LAMC2_HUMAN	LAMC2 LAMB2T LAMNB2	Homo sapiens (Human)
P25067	P25067	CO8A2_HUMAN	COL8A2	Homo sapiens (Human)
Q14766	Q14766	LTBP1_HUMAN	LTBP1	Homo sapiens (Human)
P02763	P02763	A1AG1_HUMAN	ORM1 AGP1	Homo sapiens (Human)
P20151	P20151	KLK2_HUMAN	KLK2	Homo sapiens (Human)
P24593	P24593	IBP5_HUMAN	IGFBP5 IBP5	Homo sapiens (Human)
Q9BXP8	Q9BXP8	PAPP2_HUMAN	PAPPA2 PLAC3	Homo sapiens (Human)
P04196	P04196	HRG_HUMAN	HRG	Homo sapiens (Human)
P08697	P08697	A2AP_HUMAN	SERPINF2 AAP PLI	Homo sapiens (Human)
P21810	P21810	PGS1_HUMAN	BGN SLRR1A	Homo sapiens (Human)
O94979	O94979	SC31A_HUMAN	SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334	Homo sapiens (Human)
P15813	P15813	CD1D_HUMAN	CD1D	Homo sapiens (Human)
P55899	P55899	FCGRN_HUMAN	FCGRT FCRN	Homo sapiens (Human)
Q95460	Q95460	HMR1_HUMAN	MR1	Homo sapiens (Human)
P03989	P03989	1B27_HUMAN	HLA-B HLAB	Homo sapiens (Human)
P30511	P30511	HLAF_HUMAN	HLA-F HLA-5.4 HLAF	Homo sapiens (Human)
O95486	O95486	SC24A_HUMAN	SEC24A	Homo sapiens (Human)
P29016	P29016	CD1B_HUMAN	CD1B	Homo sapiens (Human)
P06126	P06126	CD1A_HUMAN	CD1A	Homo sapiens (Human)
Q15436	Q15436	SC23A_HUMAN	SEC23A	Homo sapiens (Human)
P01891	P01891	1A68_HUMAN	HLA-A HLAA	Homo sapiens (Human)
O15315	O15315	RA51B_HUMAN	RAD51B RAD51L1 REC2	Homo sapiens (Human)
P14222	P14222	PERF_HUMAN	PRF1 PFP	Homo sapiens (Human)
P50453	P50453	SPB9_HUMAN	SERPINB9 PI9	Homo sapiens (Human)
P10124	P10124	SRGN_HUMAN	SRGN PRG PRG1	Homo sapiens (Human)
Q16270	Q16270	IBP7_HUMAN	IGFBP7 MAC25 PSF	Homo sapiens (Human)
O75173	O75173	ATS4_HUMAN	ADAMTS4 KIAA0688 UNQ769/PRO1563	Homo sapiens (Human)
Q04756	Q04756	HGFA_HUMAN	HGFAC	Homo sapiens (Human)
P05981	P05981	HEPS_HUMAN	HPN TMPRSS1	Homo sapiens (Human)
P14384	P14384	CBPM_HUMAN	CPM	Homo sapiens (Human)
Q9UNA0	Q9UNA0	ATS5_HUMAN	ADAMTS5 ADAMTS11 ADMP2	Homo sapiens (Human)
P02768	P02768	ALBU_HUMAN	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Homo sapiens (Human)
Q14512	Q14512	FGFP1_HUMAN	FGFBP1 FGFBP HBP17	Homo sapiens (Human)
Q6ZVN8	Q6ZVN8	RGMC_HUMAN	HFE2 HJV RGMC	Homo sapiens (Human)
Q96B86	Q96B86	RGMA_HUMAN	RGMA RGM	Homo sapiens (Human)
Q6NW40	Q6NW40	RGMB_HUMAN	RGMB	Homo sapiens (Human)
Q9H2X0	Q9H2X0	CHRD_HUMAN	CHRD UNQ217/PRO243	Homo sapiens (Human)
Q15465	Q15465	SHH_HUMAN	SHH	Homo sapiens (Human)
P08493	P08493	MGP_HUMAN	MGP MGLAP GIG36	Homo sapiens (Human)
P38435	P38435	VKGC_HUMAN	GGCX GC	Homo sapiens (Human)
P49747	P49747	COMP_HUMAN	COMP	Homo sapiens (Human)
P51677	P51677	CCR3_HUMAN	CCR3 CMKBR3	Homo sapiens (Human)
O00590	O00590	ACKR2_HUMAN	ACKR2 CCBP2 CCR10 CMKBR9 D6	Homo sapiens (Human)
P16112	P16112	PGCA_HUMAN	ACAN AGC1 CSPG1 MSK16	Homo sapiens (Human)
P51884	P51884	LUM_HUMAN	LUM LDC SLRR2D	Homo sapiens (Human)
Q6UXX9	Q6UXX9	RSPO2_HUMAN	RSPO2 UNQ9384/PRO34209	Homo sapiens (Human)
Q9BXY4	Q9BXY4	RSPO3_HUMAN	RSPO3 PWTSR THSD2	Homo sapiens (Human)
Q5XLA6	Q5XLA6	CAR17_HUMAN	CARD17 INCA	Homo sapiens (Human)
Q9NRD8	Q9NRD8	DUOX2_HUMAN	DUOX2 LNOX2 THOX2	Homo sapiens (Human)
Q9HBV1	Q9HBV1	POPD3_HUMAN	POPDC3 POP3	Homo sapiens (Human)
P57730	P57730	CAR18_HUMAN	CARD18 ICEBERG UNQ5804/PRO19611	Homo sapiens (Human)
Q86W26	Q86W26	NAL10_HUMAN	NLRP10 NALP10 NOD8 PYNOD	Homo sapiens (Human)
O94826	O94826	TOM70_HUMAN	TOMM70 KIAA0719 TOM70 TOMM70A	Homo sapiens (Human)
Q86UT6	Q86UT6	NLRX1_HUMAN	NLRX1 NOD26 NOD5 NOD9	Homo sapiens (Human)
Q8WWZ3	Q8WWZ3	EDAD_HUMAN	EDARADD	Homo sapiens (Human)
O95150	O95150	TNF15_HUMAN	TNFSF15 TL1 VEGI	Homo sapiens (Human)
O43508	O43508	TNF12_HUMAN	TNFSF12 APO3L DR3LG UNQ181/PRO207	Homo sapiens (Human)
Q99575	Q99575	POP1_HUMAN	POP1 KIAA0061	Homo sapiens (Human)
Q9H6R0	Q9H6R0	DHX33_HUMAN	DHX33 DDX33	Homo sapiens (Human)
Q969H6	Q969H6	POP5_HUMAN	POP5 AD-008 HSPC004 x0003	Homo sapiens (Human)
Q6PJP8	Q6PJP8	DCR1A_HUMAN	DCLRE1A KIAA0086 SNM1 SNM1A	Homo sapiens (Human)
Q9NR97	Q9NR97	TLR8_HUMAN	TLR8 UNQ249/PRO286	Homo sapiens (Human)
P21145	P21145	MAL_HUMAN	MAL	Homo sapiens (Human)
Q9Y2C9	Q9Y2C9	TLR6_HUMAN	TLR6	Homo sapiens (Human)
Q9NYK1	Q9NYK1	TLR7_HUMAN	TLR7 UNQ248/PRO285	Homo sapiens (Human)
Q92838	Q92838	EDA_HUMAN	EDA ED1 EDA2	Homo sapiens (Human)
Q8WX94	Q8WX94	NALP7_HUMAN	NLRP7 NALP7 NOD12 PYPAF3	Homo sapiens (Human)
Q13127	Q13127	REST_HUMAN	REST NRSF XBR	Homo sapiens (Human)
Q10589	Q10589	BST2_HUMAN	BST2	Homo sapiens (Human)
Q9NZI8	Q9NZI8	IF2B1_HUMAN	IGF2BP1 CRDBP VICKZ1 ZBP1	Homo sapiens (Human)
P40616	P40616	ARL1_HUMAN	ARL1	Homo sapiens (Human)
O14773	O14773	TPP1_HUMAN	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)
O43765	O43765	SGTA_HUMAN	SGTA SGT SGT1	Homo sapiens (Human)
Q9NRD1	Q9NRD1	FBX6_HUMAN	FBXO6 FBG2 FBS2 FBX6	Homo sapiens (Human)
Q8NCQ5	Q8NCQ5	FBX15_HUMAN	FBXO15 FBX15	Homo sapiens (Human)
O15438	O15438	MRP3_HUMAN	ABCC3 CMOAT2 MLP2 MRP3	Homo sapiens (Human)
Q8WYN0	Q8WYN0	ATG4A_HUMAN	ATG4A APG4A AUTL2	Homo sapiens (Human)
P01833	P01833	PIGR_HUMAN	PIGR	Homo sapiens (Human)
Q8NF91	Q8NF91	SYNE1_HUMAN	SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1	Homo sapiens (Human)
P02774	P02774	VTDB_HUMAN	GC	Homo sapiens (Human)
Q8WXH0	Q8WXH0	SYNE2_HUMAN	SYNE2 KIAA1011 NUA	Homo sapiens (Human)
P08247	P08247	SYPH_HUMAN	SYP	Homo sapiens (Human)
O94889	O94889	KLH18_HUMAN	KLHL18 KIAA0795 OK/SW-cl.74	Homo sapiens (Human)
O95198	O95198	KLHL2_HUMAN	KLHL2	Homo sapiens (Human)
Q9UH77	Q9UH77	KLHL3_HUMAN	KLHL3 KIAA1129	Homo sapiens (Human)
Q969K4	Q969K4	ABTB1_HUMAN	ABTB1 BPOZ PP2259	Homo sapiens (Human)
O94844	O94844	RHBT1_HUMAN	RHOBTB1 KIAA0740	Homo sapiens (Human)
Q86TL0	Q86TL0	ATG4D_HUMAN	ATG4D APG4D AUTL4	Homo sapiens (Human)
O95210	O95210	STBD1_HUMAN	STBD1 GENX-3414	Homo sapiens (Human)
P01579	P01579	IFNG_HUMAN	IFNG	Homo sapiens (Human)
Q8N165	Q8N165	PDK1L_HUMAN	PDIK1L CLIK1L	Homo sapiens (Human)
P48506	P48506	GSH1_HUMAN	GCLC GLCL GLCLC	Homo sapiens (Human)
P48507	P48507	GSH0_HUMAN	GCLM GLCLR	Homo sapiens (Human)
Q9ULR3	Q9ULR3	PPM1H_HUMAN	PPM1H ARHCL1 KIAA1157 URCC2	Homo sapiens (Human)
P29803	P29803	ODPAT_HUMAN	PDHA2 PDHAL	Homo sapiens (Human)
Q92845	Q92845	KIFA3_HUMAN	KIFAP3 KIF3AP SMAP	Homo sapiens (Human)
P20290	P20290	BTF3_HUMAN	BTF3 NACB OK/SW-cl.8	Homo sapiens (Human)
P15907	P15907	SIAT1_HUMAN	ST6GAL1 SIAT1	Homo sapiens (Human)
Q9BZL4	Q9BZL4	PP12C_HUMAN	PPP1R12C LENG3 MBS85	Homo sapiens (Human)
Q16637	Q16637	SMN_HUMAN	SMN1 SMN SMNT; SMN2 SMNC	Homo sapiens (Human)
O14893	O14893	GEMI2_HUMAN	GEMIN2 SIP1	Homo sapiens (Human)
P14678	P14678	RSMB_HUMAN	SNRPB COD SNRPB1	Homo sapiens (Human)
P62306	P62306	RUXF_HUMAN	SNRPF PBSCF	Homo sapiens (Human)
P62304	P62304	RUXE_HUMAN	SNRPE	Homo sapiens (Human)
P41162	P41162	ETV3_HUMAN	ETV3 METS PE1	Homo sapiens (Human)
Q8TEQ6	Q8TEQ6	GEMI5_HUMAN	GEMIN5	Homo sapiens (Human)
P13686	P13686	PPA5_HUMAN	ACP5	Homo sapiens (Human)
Q8WXD5	Q8WXD5	GEMI6_HUMAN	GEMIN6	Homo sapiens (Human)
P53621	P53621	COPA_HUMAN	COPA	Homo sapiens (Human)
Q6IN85	Q6IN85	P4R3A_HUMAN	PPP4R3A KIAA2010 PP4R3A SMEK1 MSTP033	Homo sapiens (Human)
Q9NZT1	Q9NZT1	CALL5_HUMAN	CALML5 CLSP	Homo sapiens (Human)
Q9UNI6	Q9UNI6	DUS12_HUMAN	DUSP12	Homo sapiens (Human)
P35557	P35557	HXK4_HUMAN	GCK	Homo sapiens (Human)
Q14397	Q14397	GCKR_HUMAN	GCKR	Homo sapiens (Human)
Q9Y5I7	Q9Y5I7	CLD16_HUMAN	CLDN16 PCLN1	Homo sapiens (Human)
P57087	P57087	JAM2_HUMAN	JAM2 C21orf43 VEJAM UNQ219/PRO245	Homo sapiens (Human)
P57739	P57739	CLD2_HUMAN	CLDN2 PSEC0059 SP82 UNQ705/PRO1356	Homo sapiens (Human)
Q9Y5S2	Q9Y5S2	MRCKB_HUMAN	CDC42BPB KIAA1124	Homo sapiens (Human)
P00450	P00450	CERU_HUMAN	CP	Homo sapiens (Human)
Q9Y6C5	Q9Y6C5	PTC2_HUMAN	PTCH2 UNQ560/PRO1121/PRO57079	Homo sapiens (Human)
P21817	P21817	RYR1_HUMAN	RYR1 RYDR	Homo sapiens (Human)
P08100	P08100	OPSD_HUMAN	RHO OPN2	Homo sapiens (Human)
P10523	P10523	ARRS_HUMAN	SAG	Homo sapiens (Human)
O75969	O75969	AKAP3_HUMAN	AKAP3 AKAP110 SOB1	Homo sapiens (Human)
Q99969	Q99969	RARR2_HUMAN	RARRES2 TIG2	Homo sapiens (Human)
Q5H8A3	Q5H8A3	NMS_HUMAN	NMS	Homo sapiens (Human)
P48645	P48645	NMU_HUMAN	NMU	Homo sapiens (Human)
P01282	P01282	VIP_HUMAN	VIP	Homo sapiens (Human)
P41587	P41587	VIPR2_HUMAN	VIPR2 VIP2R	Homo sapiens (Human)
P09683	P09683	SECR_HUMAN	SCT	Homo sapiens (Human)
P20800	P20800	EDN2_HUMAN	EDN2	Homo sapiens (Human)
P78423	P78423	X3CL1_HUMAN	CX3CL1 FKN NTT SCYD1 A-152E5.2	Homo sapiens (Human)
Q2I0M5	Q2I0M5	RSPO4_HUMAN	RSPO4 C20orf182	Homo sapiens (Human)
Q9HBX8	Q9HBX8	LGR6_HUMAN	LGR6 UNQ6427/PRO21331 VTS20631	Homo sapiens (Human)
Q2MKA7	Q2MKA7	RSPO1_HUMAN	RSPO1	Homo sapiens (Human)
P0C0P6	P0C0P6	NPS_HUMAN	NPS	Homo sapiens (Human)
Q6W5P4	Q6W5P4	NPSR1_HUMAN	NPSR1 GPR154 GPRA PGR14	Homo sapiens (Human)
P04808	P04808	REL1_HUMAN	RLN1	Homo sapiens (Human)
P04090	P04090	REL2_HUMAN	RLN2	Homo sapiens (Human)
Q8WXF3	Q8WXF3	REL3_HUMAN	RLN3 INSL7 RXN3 ZINS4 UNQ6188/PRO20213	Homo sapiens (Human)
P51460	P51460	INSL3_HUMAN	INSL3 RLF RLNL	Homo sapiens (Human)
P35318	P35318	ADML_HUMAN	ADM AM	Homo sapiens (Human)
P03952	P03952	KLKB1_HUMAN	KLKB1 KLK3	Homo sapiens (Human)
P22466	P22466	GALA_HUMAN	GAL GAL1 GALN GLNN	Homo sapiens (Human)
P07602	P07602	SAP_HUMAN	PSAP GLBA SAP1	Homo sapiens (Human)
Q07325	Q07325	CXCL9_HUMAN	CXCL9 CMK MIG SCYB9	Homo sapiens (Human)
Q16663	Q16663	CCL15_HUMAN	CCL15 MIP5 NCC3 SCYA15	Homo sapiens (Human)
O14625	O14625	CXL11_HUMAN	CXCL11 ITAC SCYB11 SCYB9B	Homo sapiens (Human)
P55774	P55774	CCL18_HUMAN	CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18	Homo sapiens (Human)
Q9NRJ3	Q9NRJ3	CCL28_HUMAN	CCL28 SCYA28	Homo sapiens (Human)
O15444	O15444	CCL25_HUMAN	CCL25 SCYA25 TECK	Homo sapiens (Human)
P51686	P51686	CCR9_HUMAN	CCR9 GPR28	Homo sapiens (Human)
P20594	P20594	ANPRB_HUMAN	NPR2 ANPRB	Homo sapiens (Human)
P23582	P23582	ANFC_HUMAN	NPPC CNP2	Homo sapiens (Human)
P17342	P17342	ANPRC_HUMAN	NPR3 ANPRC C5orf23 NPRC	Homo sapiens (Human)
P01298	P01298	PAHO_HUMAN	PPY PNP	Homo sapiens (Human)
Q8N729	Q8N729	NPW_HUMAN	NPW PPL8 PPNPW	Homo sapiens (Human)
Q8NG41	Q8NG41	NPB_HUMAN	NPB PPL7 PPNPB	Homo sapiens (Human)
P00751	P00751	CFAB_HUMAN	CFB BF BFD	Homo sapiens (Human)
P17927	P17927	CR1_HUMAN	CR1 C3BR	Homo sapiens (Human)
P06681	P06681	CO2_HUMAN	C2	Homo sapiens (Human)
P06307	P06307	CCKN_HUMAN	CCK	Homo sapiens (Human)
Q07075	Q07075	AMPE_HUMAN	ENPEP	Homo sapiens (Human)
P16870	P16870	CBPE_HUMAN	CPE	Homo sapiens (Human)
P22362	P22362	CCL1_HUMAN	CCL1 SCYA1	Homo sapiens (Human)
P10997	P10997	IAPP_HUMAN	IAPP	Homo sapiens (Human)
P29120	P29120	NEC1_HUMAN	PCSK1 NEC1	Homo sapiens (Human)
P16519	P16519	NEC2_HUMAN	PCSK2 NEC2	Homo sapiens (Human)
P0DJI8	P0DJI8	SAA1_HUMAN	SAA1	Homo sapiens (Human)
P25090	P25090	FPR2_HUMAN	FPR2 FPRH1 FPRL1 LXA4R	Homo sapiens (Human)
Q9Y5Q6	Q9Y5Q6	INSL5_HUMAN	INSL5 UNQ156/PRO182	Homo sapiens (Human)
Q15726	Q15726	KISS1_HUMAN	KISS1 PP5098	Homo sapiens (Human)
P81277	P81277	PRRP_HUMAN	PRLH PRH	Homo sapiens (Human)
P09681	P09681	GIP_HUMAN	GIP	Homo sapiens (Human)
Q99731	Q99731	CCL19_HUMAN	CCL19 ELC MIP3B SCYA19	Homo sapiens (Human)
O75473	O75473	LGR5_HUMAN	LGR5 GPR49 GPR67	Homo sapiens (Human)
Q9BXB1	Q9BXB1	LGR4_HUMAN	LGR4 GPR48	Homo sapiens (Human)
Q96A98	Q96A98	TIP39_HUMAN	PTH2 TIP39 TIPF39	Homo sapiens (Human)
P01270	P01270	PTHY_HUMAN	PTH	Homo sapiens (Human)
O95399	O95399	UTS2_HUMAN	UTS2 UNQ525/PRO1068	Homo sapiens (Human)
P10092	P10092	CALCB_HUMAN	CALCB CALC2	Homo sapiens (Human)
Q8WXX5	Q8WXX5	DNJC9_HUMAN	DNAJC9	Homo sapiens (Human)
Q9NRV9	Q9NRV9	HEBP1_HUMAN	HEBP1 HBP	Homo sapiens (Human)
P32248	P32248	CCR7_HUMAN	CCR7 CMKBR7 EBI1 EVI1	Homo sapiens (Human)
O00585	O00585	CCL21_HUMAN	CCL21 SCYA21 UNQ784/PRO1600	Homo sapiens (Human)
Q969E3	Q969E3	UCN3_HUMAN	UCN3 SPC	Homo sapiens (Human)
Q8N474	Q8N474	SFRP1_HUMAN	SFRP1 FRP FRP1 SARP2	Homo sapiens (Human)
P10082	P10082	PYY_HUMAN	PYY	Homo sapiens (Human)
Q9ULZ1	Q9ULZ1	APEL_HUMAN	APLN APEL	Homo sapiens (Human)
Q8IVG9	Q8IVG9	HUNIN_HUMAN	MT-RNR2 HN	Homo sapiens (Human)
Q9HCQ7	Q9HCQ7	NPVF_HUMAN	NPVF C7orf9 RFRP	Homo sapiens (Human)
P01258	P01258	CALC_HUMAN	CALCA CALC1	Homo sapiens (Human)
Q7Z4H4	Q7Z4H4	ADM2_HUMAN	ADM2 AM2	Homo sapiens (Human)
P06881	P06881	CALCA_HUMAN	CALCA CALC1	Homo sapiens (Human)
P00797	P00797	RENI_HUMAN	REN	Homo sapiens (Human)
Q9BYF1	Q9BYF1	ACE2_HUMAN	ACE2 UNQ868/PRO1885	Homo sapiens (Human)
Q9HC23	Q9HC23	PROK2_HUMAN	PROK2 BV8	Homo sapiens (Human)
P58294	P58294	PROK1_HUMAN	PROK1 UNQ600/PRO1186	Homo sapiens (Human)
P01275	P01275	GLUC_HUMAN	GCG	Homo sapiens (Human)
P55773	P55773	CCL23_HUMAN	CCL23 MIP3 MPIF1 SCYA23	Homo sapiens (Human)
O43889	O43889	CREB3_HUMAN	CREB3 LZIP	Homo sapiens (Human)
Q9H2A7	Q9H2A7	CXL16_HUMAN	CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714	Homo sapiens (Human)
P46092	P46092	CCR10_HUMAN	CCR10 GPR2	Homo sapiens (Human)
P04003	P04003	C4BPA_HUMAN	C4BPA C4BP	Homo sapiens (Human)
P01286	P01286	SLIB_HUMAN	GHRH GHRF	Homo sapiens (Human)
O43555	O43555	GON2_HUMAN	GNRH2	Homo sapiens (Human)
P51684	P51684	CCR6_HUMAN	CCR6 CKRL3 CMKBR6 GPR29 STRL22	Homo sapiens (Human)
P83859	P83859	OX26_HUMAN	QRFP	Homo sapiens (Human)
Q9Y5R2	Q9Y5R2	MMP24_HUMAN	MMP24 MT5MMP	Homo sapiens (Human)
P01303	P01303	NPY_HUMAN	NPY	Homo sapiens (Human)
P43220	P43220	GLP1R_HUMAN	GLP1R	Homo sapiens (Human)
P07492	P07492	GRP_HUMAN	GRP	Homo sapiens (Human)
Q96HF1	Q96HF1	SFRP2_HUMAN	SFRP2 FRP2 SARP1 FKSG12 UNQ361/PRO697	Homo sapiens (Human)
Q9NPB9	Q9NPB9	ACKR4_HUMAN	ACKR4 CCBP2 CCR11 CCRL1 VSHK1	Homo sapiens (Human)
O15130	O15130	NPFF_HUMAN	NPFF	Homo sapiens (Human)
Q9UBC7	Q9UBC7	GALP_HUMAN	GALP	Homo sapiens (Human)
P01350	P01350	GAST_HUMAN	GAST GAS	Homo sapiens (Human)
P46091	P46091	GPR1_HUMAN	GPR1	Homo sapiens (Human)
P61366	P61366	OSTN_HUMAN	OSTN	Homo sapiens (Human)
P49913	P49913	CAMP_HUMAN	CAMP CAP18 FALL39 HSD26	Homo sapiens (Human)
O43847	O43847	NRDC_HUMAN	NRDC NRD1	Homo sapiens (Human)
P31150	P31150	GDIA_HUMAN	GDI1 GDIL OPHN2 RABGDIA XAP4	Homo sapiens (Human)
O00423	O00423	EMAL1_HUMAN	EML1 EMAP1 EMAPL EMAPL1	Homo sapiens (Human)
P09467	P09467	F16P1_HUMAN	FBP1 FBP	Homo sapiens (Human)
O00757	O00757	F16P2_HUMAN	FBP2	Homo sapiens (Human)
Q30201	Q30201	HFE_HUMAN	HFE HLAH	Homo sapiens (Human)
P41226	P41226	UBA7_HUMAN	UBA7 UBE1L UBE2	Homo sapiens (Human)
Q13325	Q13325	IFIT5_HUMAN	IFIT5 ISG58 RI58	Homo sapiens (Human)
P13797	P13797	PLST_HUMAN	PLS3	Homo sapiens (Human)
P09913	P09913	IFIT2_HUMAN	IFIT2 CIG-42 G10P2 IFI54 ISG54	Homo sapiens (Human)
Q14651	Q14651	PLSI_HUMAN	PLS1	Homo sapiens (Human)
P09914	P09914	IFIT1_HUMAN	IFIT1 G10P1 IFI56 IFNAI1 ISG56	Homo sapiens (Human)
